Batch_ID,Material,Size_nm,PDI,Charge_mV,Encapsulation_%,Stability_%,Toxicity_%,Hydrodynamic_Size_nm,Surface_Area_nm2,Pore_Size_nm,Degradation_Time_days,Target_Cells,Ligand,Receptor,Delivery_Efficiency_%,Particle_Concentration_per_mL,Preparation_Method,pH,Osmolality_mOsm,Sterility_Pass,Endotoxin_EU_mL,Source,Confidence,Adverse_Event,Severity,Immune_Activation_Score,Pro_Inflammatory,Molecular_Weight,Trial_Phase,Trial_Type,Success,Efficacy,Structure_Type,Compactness,Flexibility
TOXCAST-000001,Chemical (ToxCast),74.84497801914858,0.24818165683474402,-16.708059780064982,40.76006513210916,57.1010024734343,28.91527083887711,179.90428085447707,29874.397199090537,2.2994298621778526,87.15774130763744,Multiple (ToxCast screening),Varies,Multiple,71.0847291611229,4.58e+13,Chemical,7.0,290.0,Yes,0.12237929626832562,EPA ToxCast,0.6,,,,,,,,,,,,
TOXCAST-000002,Chemical (ToxCast),93.05916383055606,0.21905717160032231,-0.47258170210660566,61.28659993343494,61.06025510546449,55.99810402528767,208.2617158250505,20160.397545316155,2.7782826120385247,36.40663999009055,Multiple (ToxCast screening),Varies,Multiple,44.00189597471233,4.27e+13,Chemical,7.0,290.0,Yes,0.06465130450706429,EPA ToxCast,0.6,,,,,,,,,,,,
TOXCAST-000003,Chemical (ToxCast),89.86728549912706,0.11106689828613325,-12.183949682327492,40.464748086514696,56.98281490516234,22.85980483737081,191.50871341221313,47402.244672774774,3.620431316448274,32.7764089028091,Multiple (ToxCast screening),Varies,Multiple,77.1401951626292,3.56e+13,Chemical,7.0,290.0,Yes,0.33960648240040764,EPA ToxCast,0.6,,,,,,,,,,,,
TOXCAST-000004,Chemical (ToxCast),146.19697145234744,0.1268096990358462,-1.4328480431935446,46.91755773876489,70.18426960893763,41.96714630747379,205.81949924007932,24047.07246415451,3.791901478295494,69.350181470987,Multiple (ToxCast screening),Varies,Multiple,58.03285369252621,2.68e+13,Chemical,7.0,290.0,Yes,0.03451524293508224,EPA ToxCast,0.6,,,,,,,,,,,,
TOXCAST-000005,Chemical (ToxCast),115.7200145120294,0.14175300343806355,-16.763991848457703,73.89809466955867,73.94474624538711,76.95912182020521,76.97876625863388,18821.13256469099,3.278878812733056,15.885484424225078,Multiple (ToxCast screening),Varies,Multiple,23.040878179794788,4.87e+13,Chemical,7.0,290.0,Yes,0.24855747187559993,EPA ToxCast,0.6,,,,,,,,,,,,
TOXCAST-000006,Chemical (ToxCast),88.04945828007916,0.12796466388898545,-14.952142984837803,58.04837810265778,82.32753279989954,39.20615119844709,143.3265741137974,27377.99419118004,3.1235080771004284,83.3701763595462,Multiple (ToxCast screening),Varies,Multiple,60.79384880155291,4.38e+13,Chemical,7.0,290.0,Yes,0.11060297287221538,EPA ToxCast,0.6,,,,,,,,,,,,
TOXCAST-000007,Chemical (ToxCast),107.72581632322702,0.24033282170049738,-4.361520428105937,64.45158916805434,52.617483868881706,33.78092590927303,109.99819302921836,41995.14520574556,3.23485533267559,45.05433482557551,Multiple (ToxCast screening),Varies,Multiple,66.21907409072696,2.96e+13,Chemical,7.0,290.0,Yes,0.48278562911734074,EPA ToxCast,0.6,,,,,,,,,,,,
TOXCAST-000008,Chemical (ToxCast),130.35667390100292,0.18249783504252573,-5.346019224399797,66.06156111010131,82.79875117990714,34.31280058659088,167.24745952032612,18795.995610273007,2.634603075671824,64.01813572623094,Multiple (ToxCast screening),Varies,Multiple,65.68719941340912,4.00e+13,Chemical,7.0,290.0,Yes,0.19586302150799292,EPA ToxCast,0.6,,,,,,,,,,,,
TOXCAST-000009,Chemical (ToxCast),72.46056541769482,0.17203605721032367,-10.952055050656034,42.510608647162954,64.72891276318643,15.862187380416133,142.5569607028068,15297.860403579332,3.35504837162373,75.59723422064434,Multiple (ToxCast screening),Varies,Multiple,84.13781261958387,1.14e+13,Chemical,7.0,290.0,Yes,0.34379681930213274,EPA ToxCast,0.6,,,,,,,,,,,,
TOXCAST-000010,Chemical (ToxCast),180.76123217931013,0.15952001798623971,-11.619560169739165,47.04458567257569,60.86036032455844,56.20488088293902,173.0793975656198,40418.9964572039,3.8836679164371617,46.06280194791499,Multiple (ToxCast screening),Varies,Multiple,43.79511911706098,3.75e+13,Chemical,7.0,290.0,Yes,0.24365538736755357,EPA ToxCast,0.6,,,,,,,,,,,,
